Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
173548466_924899648304484_4195039705456255391_n.jpg,174307622_292682232385990_642188140914265796_n.jpg,Burger,2,100,45,55
174307622_292682232385990_642188140914265796_n.jpg,18645212_1927977274109336_9071485075392036864_n.jpg,Burger,2,100,45,55
272638178_982249226055815_7466217169319487006_n.jpg,120516664_956656288150744_8888410183697515020_n.jpg,Burger,2,100,43,57
43913365_734230446941661_694772758758403811_n.jpg,13398415_577933142374781_1637762729_n.jpg,Burger,1,100,55,45
12907438_1002546376449770_611054920_n.jpg,17932147_164697620721028_6981407277370572800_n.jpg,Burger,2,100,45,55
12277650_122865608080184_2020395750_n.jpg,17266144_263781650737283_7198056049234935808_n.jpg,Burger,1,100,56,44
1515334_191063421096060_1058088510_n.jpg,11357851_1723624434531449_947751609_n.jpg,Burger,1,100,55,45
62540995_115283883077003_7961012940044474406_n.jpg,106371929_901125360376653_5714833843650559096_n.jpg,Burger,2,100,44,56
10432014_230031863874190_238514592_n.jpg,95866178_909690366218933_8713666644472493446_n.jpg,Burger,2,100,44,56
95866178_909690366218933_8713666644472493446_n.jpg,96514908_717253922438008_3020387325389132028_n.jpg,Burger,2,100,44,56
59039738_671469213274903_1536268498101288678_n.jpg,18888833_112113876055184_3220513886113366016_n.jpg,Burger,1,100,56,44
11282787_584182131684630_1291421616_n.jpg,158608546_3760218100751776_3189293673950356849_n.jpg,Burger,2,100,45,55
10261245_660052657364184_1556639402_n.jpg,158608546_3760218100751776_3189293673950356849_n.jpg,Burger,2,100,43,57
1208195_661308407225303_1483550249_n.jpg,18808859_236422016854960_3657271292286992384_n.jpg,Burger,2,100,45,55
88276761_498450624160797_7046226257265147415_n.jpg,47582851_276431046558247_8526056051022223968_n.jpg,Burger,2,100,45,55
11881626_512599868897624_643660738_n.jpg,80650626_2514029702185566_451103596385278898_n.jpg,Burger,2,100,45,55
18251853_206712013165539_4817325414722568192_n.jpg,13734473_1109001472502711_1144816974_n.jpg,Burger,2,100,44,56
95599253_531626100881154_5190594543841103351_n.jpg,10785027_736307863127795_297045351_n.jpg,Burger,2,100,45,55
1171947_228068224202781_257392660_n.jpg,44475974_122791078707886_4763316651420226596_n.jpg,Burger,2,100,45,55
44475974_122791078707886_4763316651420226596_n.jpg,56875760_310595869616879_6027898817732818974_n.jpg,Burger,2,100,45,55
82223290_461596141410750_7490392024857130883_n.jpg,13736989_1715986295330364_27769296_n.jpg,Burger,1,100,57,43
11324306_978071958883578_1670077844_n.jpg,11192631_1592498964322822_453567315_n.jpg,Burger,2,100,44,56
13397416_1736376273241993_453255422_n.jpg,46689829_433627253841110_5843660135173256380_n.jpg,Burger,2,100,45,55
190854328_852186452316763_5691269785818071012_n.jpg,15534970_1212131222206894_8873005265025236992_n.jpg,Burger,2,100,44,56
21042275_113876872629600_4976580564380286976_n.jpg,12277617_1273148506045580_1693255155_n.jpg,Burger,2,100,44,56
168968724_151497800197235_3473822942136162232_n.jpg,13398727_518824224970233_85847273_n.jpg,Burger,2,100,45,55
103861520_105763017779458_2778517018092630976_n.jpg,25017004_1940620306188343_810713465537691648_n.jpg,Burger,2,100,45,55
103861520_105763017779458_2778517018092630976_n.jpg,95799360_284956919186105_173364603491518091_n.jpg,Burger,2,100,44,56
10954700_1536110789985456_2045147871_n.jpg,129746386_3033208066961646_1793667156446336828_n.jpg,Burger,2,100,43,57
12139741_1509083712737053_251433314_n.jpg,11355287_906917966030060_1371203336_n.jpg,Burger,1,100,55,45
31150008_451833281918873_3060515887502065664_n.jpg,13249892_1606406229688591_1977826256_n.jpg,Burger,1,100,56,44
1723108_1465729940322412_1008988082_n.jpg,38903959_1897520517219382_3817639882151428096_n.jpg,Burger,2,100,43,57
12145146_901579599926966_1345468376_n.jpg,22710501_136008247047308_2414588248253792256_n.jpg,Burger,2,100,45,55
31198460_1624784617606566_4136169538884468736_n.jpg,73234178_403452423681947_1089236586797181447_n.jpg,Burger,2,100,44,56
81043869_549420092659018_4935882010760999266_n.jpg,46959693_1649000775201213_8661823910693214447_n.jpg,Burger,2,100,43,57
11275281_862841040418560_1561915002_n.jpg,117334332_120484172842246_2439731755743670338_n.jpg,Burger,1,100,55,45
15048227_993994020726623_3959633437987438592_n.jpg,18513608_1393077080786030_5860639787727192064_n.jpg,Burger,2,100,45,55
23596262_758038654405080_3712702015655116800_n.jpg,140290901_247556106716257_2523314575445582702_n.jpg,Burger,2,100,45,55
15276533_341041366278647_7133164243058163712_n.jpg,101146177_104704404536731_8795779864805501356_n.jpg,Burger,1,100,56,44
14498860_1337976229580141_207833012186906624_n.jpg,288660748_176727901393996_5170354315781675728_n.jpg,Burger,2,100,43,57
12345812_1528655530794275_1728851677_n.jpg,11252232_913172898742066_1934892564_n.jpg,Burger,1,100,59,41
91120992_2640293206246575_4882792120014350812_n.jpg,16110552_641564739349939_5114986220501336064_n.jpg,Burger,2,100,45,55
131890646_1618371995014201_8954165371252073709_n.jpg,329599667_567816652040338_5781998523502522272_n.jpg,Burger,2,100,45,55
101646206_673616983218537_3669942111653525011_n.jpg,12965813_816387035159780_1469812508_n.jpg,Burger,2,100,45,55
11247632_528846927272908_170430546_n.jpg,11203421_1648689328696967_1681004851_n.jpg,Burger,2,100,45,55
168313060_4133893200000259_1241579725912234934_n.jpg,80080693_169673137574231_5646212236903055610_n.jpg,Burger,2,100,45,55
22801916_171621476751214_8949224648013250560_n.jpg,154824582_1146198675804881_1163723827029075224_n.jpg,Burger,2,100,45,55
154824582_1146198675804881_1163723827029075224_n.jpg,13414287_1993683704190771_356907210_n.jpg,Burger,2,100,44,56
274484605_1304812716655161_942637387062019200_n.jpg,15534992_1782776235307552_241494118289637376_n.jpg,Burger,1,100,55,45
160589041_3925635144155892_8531888372790169690_n.jpg,925255_638844916202131_511872087_n.jpg,Burger,2,100,45,55
14374067_136459733477995_887205032_n.jpg,19437124_876626299159972_8663224442219921408_n.jpg,Burger,2,100,44,56
141257041_765304720747153_2682467429160708762_n.jpg,23164578_183378042213168_3355987428190978048_n.jpg,Burger,2,100,44,56
12230951_1638732899714451_759012711_n.jpg,72696357_2728326577394958_5803398234728895372_n.jpg,Burger,2,100,44,56
193154259_789721791733943_6328689962007169324_n.jpg,72696357_2728326577394958_5803398234728895372_n.jpg,Burger,2,100,44,56
