Image 1,Image 2,Menu,Winner
11117136_448997341923974_711657908_n.jpg,1516417_377738045750906_293275553_n.jpg,Burger,1
1799763_1568846116721848_153794917_n.jpg,10838476_1603547203214490_1673567624_n.jpg,Burger,1
11055989_349384535252405_1973311748_n.jpg,11055445_556613634441094_1451985382_n.jpg,Burger,2
317612359_466471425630629_9103376320134147638_n.jpg,321155392_654081873125804_4597979222163610840_n.jpg,Burger,2
320058631_1106504873331527_1104522570667449301_n.jpg,316251043_199244229243125_7947605523535885737_n.jpg,Burger,1
315545262_151251904307715_8335897229817639599_n.jpg,320517376_511885147583671_2321409779503336402_n.jpg,Burger,2
316251043_199244229243125_7947605523535885737_n.jpg,316919062_461083599286289_5663528881580615272_n.jpg,Burger,2
315545262_151251904307715_8335897229817639599_n.jpg,315954476_1363413874428174_5047933422376746604_n.jpg,Burger,2
138889331_411019610232400_9204160817480151258_n.jpg,138597369_411282483319072_2172309799375482580_n.jpg,Burger,1
56857856_349378192364561_3175469851077709861_n.jpg,55959664_114979116145075_190689598869178124_n.jpg,Burger,1
246881205_1060308394729253_8523102798317047106_n.jpg,246909530_625701205474212_7812503004769120618_n.jpg,Burger,1
246182698_1827649727421902_6016106697785662114_n.jpg,244779662_617395409433088_4689546542546692175_n.jpg,Burger,1
244575365_997728941073802_8477394986212377626_n.jpg,244653677_182241847288303_2309291450720088801_n.jpg,Burger,1
244418437_652548022397059_7976205653246574973_n.jpg,244653677_182241847288303_2309291450720088801_n.jpg,Burger,1
242365432_1471771356526361_5729615427424637784_n.jpg,242444163_808371556525263_6237946571936485908_n.jpg,Burger,2
242040123_840472366663122_4640622842603712661_n.jpg,242080814_180427190878194_8237751870754355664_n.jpg,Burger,1
241945976_219794936867056_3660125110849133159_n.jpg,241736688_287677299438743_7492845730420165192_n.jpg,Burger,1
202894817_489305059025170_6567701396188617551_n.jpg,202275482_476068050142917_1015846863189834453_n.jpg,Burger,1
189864350_232180965378952_723271456145310024_n.jpg,189312051_100927135512997_3596389191749746231_n.jpg,Burger,1
157766128_4212722635447131_4466236851104630479_n.jpg,157832022_613037262894806_7794547713278426115_n.jpg,Burger,1
1516457_1521380128166845_1132685752_n.jpg,11378439_559392404220010_1293992798_n.jpg,Burger,1
12276904_200090120329720_1695405197_n.jpg,12269817_1652930111628750_2126824828_n.jpg,Burger,2
11881588_1487258208259212_1915419048_n.jpg,11934623_1651838481728580_1053182626_n.jpg,Burger,2
329055792_1185200812357367_2347564196992113551_n.jpg,328512583_147177301189355_6576280018312221410_n.jpg,Burger,2
328102537_157629580424965_7907289441447984072_n.jpg,328585071_222645483549576_3261062134020471437_n.jpg,Burger,2
316809697_450388840612200_3687028451398628377_n.jpg,316919062_461083599286289_5663528881580615272_n.jpg,Burger,2
311337699_1438142933345116_8475819194754819325_n.jpg,311839896_851885102669357_1807925086505379238_n.jpg,Burger,2
289873030_573027841054648_5994248954870037846_n.jpg,290373841_779313873090563_302300073867999030_n.jpg,Burger,2
287531017_531410871955633_1499432577391323478_n.jpg,285736825_739013377295829_7509909508467983147_n.jpg,Burger,1
32570375_263844451023649_1124307934264688640_n.jpg,32741410_412246269242891_4226783204117315584_n.jpg,Burger,2
43985334_755487431465034_2235324865984388530_n.jpg,47063712_125320968467683_7173220387282730018_n.jpg,Dessert,2
47208019_131763921151617_4207235528937573710_n.jpg,46075061_259195838074788_8620640821040098288_n.jpg,Dessert,2
47583886_959105464300606_4544117051112770499_n.jpg,43984815_756708454672570_7854186937707940386_n.jpg,Dessert,2
44443963_334258080711354_2229040996309720079_n.jpg,43282933_2124641664530671_1546378145801720259_n.jpg,Dessert,1
46593162_260502597950491_4819882371830179690_n.jpg,43167157_1345463592261643_887925330050359493_n.jpg,Dessert,1
43779032_255676925302438_3642097486736901401_n.jpg,45387172_154026302236060_3036825668634193332_n.jpg,Dessert,1
44392043_731977683832931_2724141811801446502_n.jpg,44221467_353480848721263_7774222579126973040_n.jpg,Dessert,2
43040786_1190988517718482_659501642979455709_n.jpg,47382561_528489687662552_1430211809675366275_n.jpg,Dessert,1
30591647_2044923619164298_5011235186612895744_n.jpg,30084913_366916300479195_2454007638485106688_n.jpg,Dessert,2
30087582_1011417512356748_5711520550434635776_n.jpg,28763812_421915311589223_468712095999852544_n.jpg,Dessert,2
29738300_166987397349247_8517128750234599424_n.jpg,30590213_167256450655633_4677126918993084416_n.jpg,Dessert,1
30998804_1728877577202558_8393779531466407936_n.jpg,29089067_575781026116302_6310780019937378304_n.jpg,Dessert,1
17125954_610691769129855_8469197396247576576_n.jpg,17586866_1915227215380086_2845729593845874688_n.jpg,Dessert,1
17332673_416154288733886_906686824754184192_n.jpg,17439377_384116988642208_4886846053183127552_n.jpg,Dessert,1
17267804_1072336882911831_7477207878135185408_n.jpg,17438382_1364583190229308_1169100500381990912_n.jpg,Dessert,1
17126216_730011753833581_5803106261255847936_n.jpg,17586984_428229494183717_8440815539391037440_n.jpg,Dessert,1
