Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
107900916_690587421787801_3287198688757013541_n.jpg,118664439_329707348223556_8488867433603592588_n.jpg,Sushi,2,100,42,58
12081046_1478378082471212_341147603_n.jpg,1738512_945023002180942_647998122_n.jpg,Dessert,2,100,45,55
21576641_116782405686688_7252002260106870784_n.jpg,13092265_107909896286330_595328558_n.jpg,Burger,2,100,44,56
22157874_1917781138441739_7843029432649383936_n.jpg,123122254_202149594636000_2696887864228634264_n.jpg,Sushi,1,100,57,43
12231042_944561335615931_367728938_n.jpg,97311656_1617590868404251_3141598485458080110_n.jpg,Dessert,1,100,57,43
11355290_1621748688079158_1619531384_n.jpg,126468782_125040022528312_8455779693183368125_n.jpg,Ramen,2,100,43,57
10852972_1587939734758653_743989304_n.jpg,97947339_633692867233464_2993168618634619495_n.jpg,Burger,2,100,45,55
11259120_1178441905514773_1399756735_n.jpg,42003870_334566500644858_2418867621271990915_n.jpg,Sushi,2,100,44,56
12912319_1717121855227382_1702394935_n.jpg,12530911_1017181825026934_1867956528_n.jpg,Pizza,1,100,59,41
12677606_227728080898841_832770613_n.jpg,17818856_242157539524945_6759900953329008640_n.jpg,Sushi,1,100,55,45
14027331_1139251739452131_1301247848_n.jpg,21577343_130090340967937_4548401788444737536_n.jpg,Dessert,2,100,45,55
298199061_470096987877423_4670071581300015780_n.jpg,126844769_389843352071865_7584101358742040919_n.jpg,Ramen,2,100,44,56
90314975_847012479096351_3177212603862817401_n.jpg,133724509_229462785291311_5735088289001930963_n.jpg,Burger,2,100,45,55
13551534_1207186032665821_629204793_n.jpg,11254708_553069781498384_529248598_n.jpg,Ramen,2,100,43,57
11378901_1614747618764048_1606785537_n.jpg,185786890_465540597874567_5691032516626305125_n.jpg,Ramen,2,100,44,56
131405919_485990915712200_2195645440305137640_n.jpg,30603305_1282833258528414_5667371610936442880_n.jpg,Ramen,2,100,41,59
11282777_463621803804911_1653610009_n.jpg,12446322_1876451025915363_1278236791_n.jpg,Sushi,1,100,57,43
16122511_393811930967146_1952356690967920640_n.jpg,36611575_194055351271434_6964577108718780416_n.jpg,Sushi,1,100,56,44
10502722_1651820345049828_1348541398_n.jpg,43817531_318563532070757_5994271604718551014_n.jpg,Ramen,2,100,45,55
23098998_188900785010679_8530254565428166656_n.jpg,120883205_192817682299387_2019034000385627448_n.jpg,Sushi,1,100,56,44
13256887_1037673042986407_1134785333_n.jpg,241876837_651762922458300_4788333377922011187_n.jpg,Burger,1,100,55,45
12139741_1509083712737053_251433314_n.jpg,11355287_906917966030060_1371203336_n.jpg,Burger,1,100,55,45
269792085_604563990814540_7083270925933057774_n.jpg,141678795_426075738808067_5071966412019090900_n.jpg,Ramen,2,100,45,55
